Year,Month,Day,Hour,Air Temperature,Dew Point Temperature,Sea Level Pressure,Wind Direction,Wind Speed Rate,Sky Condition Total Coverage Code,One Hour Liquid Precipitation Depth,Six Hour Liquid Precipitation Depth
1991,1,1,0,-0.6,-6.1,1029.3,40,2.6,4,0.0,0.0
1991,1,1,1,-1.7,-5.0,1029.1,40,2.1,3,0.0,-999.9
1991,1,1,2,-2.2,-4.4,1029.3,100,2.1,3,0.0,-999.9
1991,1,1,3,-2.2,-5.6,1029.3,-9999,0.0,2,0.0,-999.9
1991,1,1,4,-1.7,-5.6,1029.4,-9999,0.0,3,0.0,-999.9
1991,1,1,5,-2.2,-5.6,1029.2,80,1.5,2,0.0,-999.9
1991,1,1,6,-2.8,-5.6,1029.3,120,2.1,2,0.0,0.0
1991,1,1,7,-2.8,-5.6,1029.1,150,3.1,2,0.0,-999.9
1991,1,1,8,-3.9,-6.7,1029.1,200,2.1,2,0.0,-999.9
1991,1,1,9,-3.9,-6.1,1028.8,100,1.5,0,0.0,-999.9
1991,1,1,10,-4.4,-6.7,1027.9,70,2.1,0,0.0,-999.9
1991,1,1,11,-4.4,-6.1,1027.7,110,2.1,2,0.0,-999.9
1991,1,1,12,-3.9,-5.6,1028.1,-9999,0.0,4,0.0,0.0
1991,1,1,13,-3.9,-6.1,1027.9,120,2.1,5,0.0,-999.9
1991,1,1,14,-3.9,-5.0,1028.0,100,1.5,1,0.0,-999.9
1991,1,1,15,-1.7,-3.9,1028.2,130,3.6,0,0.0,-999.9
1991,1,1,16,0.0,-3.3,1028.5,130,2.6,0,0.0,-999.9
1991,1,1,17,1.7,-3.3,1028.5,140,3.1,0,0.0,-999.9
1991,1,1,18,4.4,-2.2,1027.4,170,4.1,1,0.0,0.0
1991,1,1,19,5.6,-2.2,1026.5,110,3.1,5,0.0,-999.9
1991,1,1,20,6.1,-1.7,1025.3,160,3.1,8,0.0,-999.9
1991,1,1,21,6.1,0.0,1025.3,150,2.6,8,0.0,-999.9
1991,1,1,22,5.6,-1.1,1025.0,140,4.1,8,0.0,-999.9
1991,1,1,23,5.0,-0.6,1025.0,150,3.6,8,0.0,-999.9
1991,1,2,0,4.4,-0.6,1024.7,140,4.1,8,0.0,0.0
1991,1,2,1,4.4,-0.6,1024.5,140,4.6,8,0.0,-999.9
1991,1,2,2,4.4,0.6,1024.7,140,3.6,8,0.0,-999.9
1991,1,2,3,3.9,1.1,1025.0,140,3.1,8,0.0,-999.9
1991,1,2,4,3.9,1.7,1025.0,140,3.1,8,0.0,-999.9
1991,1,2,5,3.9,2.2,1024.9,140,3.1,8,0.0,-999.9
1991,1,2,6,3.9,1.7,1024.8,140,2.6,7,0.0,-0.1
1991,1,2,7,4.4,1.7,1024.4,130,2.6,8,0.0,-999.9
1991,1,2,8,4.4,2.2,1024.1,130,2.6,8,0.0,-999.9
1991,1,2,9,4.4,2.2,1024.1,140,2.6,8,0.0,-999.9
1991,1,2,10,5.0,2.2,1023.7,130,3.1,8,0.0,-999.9
1991,1,2,11,5.0,2.8,1023.8,130,2.6,8,0.0,-999.9
1991,1,2,12,5.0,3.3,1023.8,130,2.6,8,0.0,0.0
